,vertex_degree,vertex_distance,centre,centroid,vertex_distance_std,class
15829,0,3.71875,0,0,1.4412315697000257,0
15830,4,2.78125,0,0,1.316585902058806,0
15831,0,3.71875,0,0,1.4412315697000257,0
15832,0,4.09375,0,0,1.5280578972997063,0
15833,0,4.09375,0,0,1.5280578972997063,0
15834,3,3.15625,1,0,1.394394469832694,0
15835,1,3.71875,0,0,1.6627231993028786,0
15836,0,5.28125,0,0,2.225342319172491,0
15837,0,5.28125,0,0,2.225342319172491,0
15838,3,4.34375,0,0,2.1007346185322886,0
15839,0,6.96875,0,0,2.7441343694323717,0
15840,1,6.03125,0,0,2.6038958192485353,0
15841,1,5.15625,0,0,2.373148949707961,0
15842,0,2.4444444444444446,0,0,1.1653431646335017,0
15843,1,1.6666666666666667,0,0,0.816496580927726,0
15844,0,1.8888888888888888,0,0,0.8748897637790901,0
15845,0,1.8888888888888888,0,0,0.8748897637790901,0
15846,0,1.8888888888888888,0,0,0.8748897637790901,0
15847,0,1.8888888888888888,0,0,0.8748897637790901,0
15848,6,1.1111111111111112,1,1,0.5665577237325317,1
15849,0,2.4444444444444446,0,0,1.1653431646335017,0
15850,1,1.6666666666666667,0,0,0.816496580927726,0
15851,0,4.625,0,0,2.037410529732942,0
15852,1,3.7083333333333335,0,0,1.8814703174792728,0
15853,0,3.7916666666666665,0,0,1.802294062823514,0
15854,0,3.7916666666666665,0,0,1.8022940628235138,0
15855,0,3.7916666666666665,0,0,1.802294062823514,0
15856,5,2.875,0,0,1.6661457519276837,1
15857,0,3.2916666666666665,0,0,1.4282613750835509,0
15858,0,4.041666666666667,0,0,1.7194758568302793,0
15859,0,4.041666666666667,0,0,1.7194758568302793,0
15860,2,3.125,0,0,1.562916611125921,0
15861,0,3.2916666666666665,0,0,1.4282613750835509,0
15862,4,2.375,0,1,1.2849286620924396,0
15863,0,3.2916666666666665,0,0,1.2068956964966866,0
15864,0,3.2916666666666665,0,0,1.2068956964966866,0
15865,3,2.375,1,1,1.033299730636437,0
15866,0,3.5416666666666665,0,0,1.4135996211406145,0
15867,0,3.5416666666666665,0,0,1.4135996211406143,0
15868,3,2.625,0,0,1.2520816001097266,0
15869,1,3.9583333333333335,0,0,1.90348729675007,0
15870,1,3.9583333333333335,0,0,1.90348729675007,0
15871,0,4.875,0,0,2.06785919894626,0
15872,0,4.041666666666667,0,0,1.8138165716399097,0
15873,3,3.125,0,0,1.6661457519276837,0
15874,0,4.875,0,0,2.06785919894626,0
15875,0,2.1666666666666665,0,0,1.3437096247164249,0
15876,1,1.5,0,0,0.9574271077563381,0
15877,0,1.8333333333333333,0,0,1.0671873729054748,0
15878,3,1.1666666666666667,1,1,0.6871842709362768,1
15879,0,2.1666666666666665,0,0,1.3437096247164249,0
15880,1,1.5,0,0,0.9574271077563381,0
15881,0,2.5454545454545454,0,0,1.233150906022776,0
15882,0,3.1818181818181817,0,0,1.5850541612875177,0
15883,1,2.3636363636363638,0,0,1.2984415324623364,0
15884,0,2.5454545454545454,0,0,1.233150906022776,0
15885,4,1.7272727272727273,1,0,0.9620913858416694,1
15886,0,2.4545454545454546,0,0,1.0756508696544758,0
15887,2,1.6363636363636365,1,1,0.77138921583987,0
15888,0,2.727272727272727,0,0,1.4200453956193917,0
15889,0,2.727272727272727,0,0,1.4200453956193917,0
15890,0,2.727272727272727,0,0,1.4200453956193917,0
15891,3,1.9090909090909092,0,0,1.1642044068059725,0
15892,0,3.5,0,0,1.6583123951777,0
15893,2,2.625,0,0,1.4523687548277813,0
15894,0,4.25,0,0,1.984313483298443,0
15895,1,3.375,0,0,1.7633419974582356,0
15896,0,3.0,0,0,1.3228756555322954,0
15897,4,2.125,1,0,1.1110243021644486,1
15898,0,3.0,0,0,1.3228756555322954,0
15899,0,2.875,0,0,1.2183492931011204,0
15900,3,2.0,1,1,1.0,0
15901,0,3.25,0,0,1.479019945774904,0
15902,2,2.375,0,0,1.2686114456365274,0
15903,0,3.875,0,0,1.8666480653835098,0
15904,0,3.875,0,0,1.8666480653835098,0
15905,2,3.0,0,0,1.6583123951777,0
15906,0,3.625,0,0,1.5360257159305635,0
15907,1,2.75,0,0,1.299038105676658,0
15908,0,2.909090909090909,0,0,1.443137078762504,0
15909,0,2.909090909090909,0,0,1.443137078762504,0
15910,2,2.090909090909091,0,0,1.1642044068059723,0
15911,0,2.4545454545454546,0,0,1.0756508696544755,0
15912,3,1.6363636363636365,1,0,0.7713892158398701,1
15913,0,2.3636363636363638,0,0,1.1499191491521379,0
15914,0,2.3636363636363638,0,0,1.1499191491521379,0
15915,0,2.3636363636363638,0,0,1.1499191491521379,0
15916,0,3.0,0,0,1.4770978917519928,0
15917,1,2.1818181818181817,0,0,1.1922615498730909,0
15918,4,1.5454545454545454,1,1,0.8907235428302466,0
15919,0,4.142857142857143,0,0,1.8070158058105026,0
15920,2,3.238095238095238,0,0,1.63021359701178,0
15921,0,4.9523809523809526,0,0,2.10387828898805,0
15922,1,4.0476190476190474,0,0,1.9142620230706457,0
15923,0,4.0476190476190474,0,0,1.8120283419467094,0
15924,2,3.142857142857143,0,0,1.6413036132965795,0
15925,0,4.761904761904762,0,0,2.180099646144685,0
15926,0,4.761904761904762,0,0,2.180099646144685,0
15927,2,3.857142857142857,0,0,2.0067911910195693,0
15928,3,2.619047619047619,0,0,1.2526615655205626,1
15929,0,3.4761904761904763,0,0,1.2953781436890897,0
15930,2,2.5714285714285716,1,1,1.0942024088643865,0
15931,0,4.0476190476190474,0,0,2.0581126461880297,0
15932,0,4.428571428571429,0,0,1.866277899263374,0
15933,1,3.5238095238095237,0,0,1.679542103671276,0
15934,2,2.7142857142857144,0,0,1.4190156595953656,0
15935,0,4.0476190476190474,0,0,2.0581126461880297,0
15936,4,3.142857142857143,0,0,1.9095178719774688,0
15937,0,4.857142857142857,0,0,2.3152849106939466,0
15938,1,3.9523809523809526,0,0,2.148669366224472,0
15939,0,4.0476190476190474,0,0,2.0581126461880292,0
15940,3,1.9166666666666667,0,0,0.9537935951882998,1
15941,0,2.75,0,0,1.2332207155790618,0
15942,0,2.75,0,0,1.2332207155790618,0
15943,0,2.25,0,0,0.924211375534118,0
15944,0,2.25,0,0,0.924211375534118,0
15945,4,1.4166666666666667,1,1,0.6400954789890506,0
15946,0,2.9166666666666665,0,0,1.25554326444328,0
15947,1,2.0833333333333335,0,0,0.9537935951882996,0
15948,0,2.5833333333333335,0,0,1.1873172373979175,0
15949,0,2.5833333333333335,0,0,1.1873172373979173,0
15950,0,2.5833333333333335,0,0,1.1873172373979173,0
15951,3,1.75,0,0,0.924211375534118,0
15952,2,2.2777777777777777,0,0,0.9891385452647142,0
15953,0,3.1666666666666665,0,0,1.2133516482134197,0
15954,0,3.7222222222222223,0,0,1.6601725330537704,0
15955,0,3.7222222222222223,0,0,1.6601725330537704,0
15956,0,3.7222222222222223,0,0,1.6601725330537704,0
15957,3,2.8333333333333335,0,0,1.4624940645653537,0
15958,3,1.9444444444444444,1,1,0.7797593804232333,1
15959,0,3.388888888888889,0,0,1.4196591487978485,0
15960,0,3.388888888888889,0,0,1.4196591487978485,0
15961,3,2.5,0,0,1.2133516482134197,0
15962,0,3.388888888888889,0,0,1.4196591487978485,0
15963,0,3.0555555555555554,0,0,1.3933262448871615,0
15964,0,3.0555555555555554,0,0,1.3933262448871613,0
15965,0,3.0555555555555554,0,0,1.3933262448871613,0
15966,0,3.0555555555555554,0,0,1.3933262448871613,0
15967,5,2.1666666666666665,0,0,1.2133516482134197,0
15968,0,3.8333333333333335,0,0,1.674979270186815,0
15969,1,2.9444444444444446,0,0,1.4709113660970807,0
15970,0,3.0,0,0,1.5491933384829668,0
15971,2,2.2,0,0,1.2489995996796797,1
15972,0,2.4,0,0,1.2,0
15973,0,2.4,0,0,1.2,0
15974,3,1.6,1,1,0.9165151389911681,0
15975,0,2.4,0,0,1.1135528725660044,0
15976,2,1.6,1,1,0.8,0
15977,0,2.8,0,0,1.4696938456699067,0
15978,0,2.8,0,0,1.4696938456699067,0
15979,2,2.0,0,0,1.1832159566199232,0
15980,1,3.0,0,0,1.4605934866804429,0
15981,0,3.8666666666666667,0,0,1.7074997966487597,0
15982,0,3.1333333333333333,0,0,1.3597385369580761,0
15983,3,2.2666666666666666,0,0,1.1234866364235145,1
15984,0,3.4,0,0,1.4047538337136984,0
15985,1,2.533333333333333,0,0,1.14697670227235,0
15986,3,1.8,1,1,0.8326663997864531,0
15987,0,3.4,0,0,1.4047538337136984,0
15988,1,2.533333333333333,0,0,1.14697670227235,0
15989,0,2.8666666666666667,0,0,1.2578641509408803,0
15990,0,3.6,0,0,1.5832456116050555,0
15991,1,2.7333333333333334,0,0,1.339983416149452,0
15992,3,2.0,0,0,1.0327955589886444,0
15993,0,3.6,0,0,1.5832456116050557,0
15994,1,2.7333333333333334,0,0,1.339983416149452,0
15995,0,3.769230769230769,0,0,1.5518646924486166,0
15996,4,2.8461538461538463,0,0,1.4058205294228512,1
15997,0,3.769230769230769,0,0,1.5518646924486166,0
15998,0,4.384615384615385,0,0,1.902971827208151,0
15999,2,3.4615384615384617,0,0,1.759168711696811,0
16000,0,5.153846153846154,0,0,2.230769230769231,0
16001,0,5.153846153846154,0,0,2.230769230769231,0
16002,2,4.230769230769231,0,0,2.081192193610567,0
16003,0,3.3846153846153846,0,0,1.3031595650844168,0
16004,0,3.3846153846153846,0,0,1.3031595650844168,0
16005,0,3.3846153846153846,0,0,1.3031595650844168,0
16006,4,2.4615384615384617,1,0,1.1512791959304434,0
16007,0,3.3076923076923075,0,0,1.3521842947113034,0
16008,4,2.3846153846153846,0,1,1.2113858267710478,0
16009,0,3.3076923076923075,0,0,1.3521842947113034,0
16010,0,4.0,0,0,1.640825308284734,0
16011,2,3.076923076923077,0,0,1.4915938022819473,0
16012,0,4.846153846153846,0,0,1.8951823068853721,0
16013,1,3.923076923076923,0,0,1.7303418275695372,0
16014,2,3.6153846153846154,0,0,1.820332240953728,0
16015,0,4.538461538461538,0,0,1.965681898335483,0
16016,0,4.538461538461538,0,0,1.965681898335483,0
16017,3,2.8461538461538463,0,0,1.5365372581106291,0
16018,0,4.615384615384615,0,0,1.902971827208151,0
16019,1,3.6923076923076925,0,0,1.7490487693695496,0
16020,0,3.769230769230769,0,0,1.671196998646187,0
16021,0,3.1052631578947367,0,0,1.2934953397310007,0
16022,0,3.1052631578947367,0,0,1.2934953397310007,0
16023,0,3.1052631578947367,0,0,1.2934953397310007,0
16024,4,2.210526315789474,1,0,1.1040093138633174,0
16025,0,3.5789473684210527,0,0,1.5326547135327409,0
16026,1,3.3684210526315788,0,0,1.6610246145325789,0
16027,0,5.052631578947368,0,0,2.18785365166595,0
16028,1,4.157894736842105,0,0,1.980514497076503,0
16029,2,2.6842105263157894,0,0,1.3397812696166163,0
16030,0,3.526315789473684,0,0,1.6341236522378972,0
16031,3,2.6315789473684212,0,0,1.4585691011106334,0
16032,0,3.526315789473684,0,0,1.6341236522378972,0
16033,0,4.315789473684211,0,0,1.9208723779889116,0
16034,1,3.4210526315789473,0,0,1.7264441544059712,0
16035,3,2.1578947368421053,0,1,1.0888505718724841,1
16036,0,3.6315789473684212,0,0,1.6610246145325789,0
16037,0,3.6315789473684212,0,0,1.6610246145325789,0
16038,0,3.6315789473684212,0,0,1.6610246145325789,0
16039,3,2.736842105263158,0,0,1.4811839241547673,0
16040,3,2.64,0,0,1.3821722034536796,0
16041,0,4.4,0,0,1.7663521732655694,0
16042,1,3.48,0,0,1.6029971927611104,0
16043,0,4.4,0,0,1.7663521732655694,0
16044,1,3.48,0,0,1.6029971927611104,0
16045,0,4.08,0,0,1.9374209661299735,0
16046,0,4.08,0,0,1.9374209661299735,0
16047,0,4.92,0,0,2.1710826792179057,0
16048,1,4.0,0,0,2.0199009876724157,0
16049,0,4.08,0,0,1.9374209661299735,0
16050,4,3.16,0,0,1.803995565404749,0
16051,3,2.52,1,1,1.0628264204469138,1
16052,0,4.2,0,0,1.574801574802362,0
16053,0,4.2,0,0,1.5748015748023623,0
16054,2,3.28,0,0,1.4005713120009278,0
16055,0,3.64,0,0,1.3821722034536796,0
16056,2,3.16,0,0,1.616910634512619,0
16057,0,4.84,0,0,2.091506633984219,0
16058,0,4.84,0,0,2.091506633984219,0
16059,2,3.92,0,0,1.9374209661299735,0
16060,0,4.84,0,0,2.0915066339842197,0
16061,0,4.84,0,0,2.0915066339842197,0
16062,2,3.92,0,0,1.9374209661299735,0
16063,3,2.72,0,0,1.217209924376235,0
16064,0,3.64,0,0,1.3821722034536796,0
16065,0,3.1,0,0,1.7,0
16066,2,2.3,0,0,1.4177446878757827,1
16067,0,2.5,0,0,1.3601470508735443,0
16068,1,1.9,1,0,0.9433981132056604,0
16069,1,2.3,0,0,1.2688577540449522,0
16070,0,3.7,0,0,2.0024984394500787,0
16071,1,2.9,0,0,1.7,0
16072,3,1.7,0,1,1.1,0
16073,0,3.1,0,0,1.7,0
16074,1,2.3,0,0,1.4177446878757827,0
16075,0,4.037037037037037,0,0,1.5748364167014295,0
16076,0,4.037037037037037,0,0,1.5748364167014295,0
16077,0,4.037037037037037,0,0,1.5748364167014295,0
16078,4,3.111111111111111,0,0,1.4229164972072996,1
16079,0,4.037037037037037,0,0,1.5270761576361704,0
16080,2,3.111111111111111,0,0,1.3698697784375502,0
16081,0,4.888888888888889,0,0,1.7916128329552332,0
16082,1,3.962962962962963,0,0,1.621190268758466,0
16083,3,2.4074074074074074,1,0,1.063162969956098,0
16084,0,4.185185185185185,0,0,1.4665918424609874,0
16085,1,3.259259259259259,0,0,1.2936480886350354,0
16086,0,3.1481481481481484,0,0,1.0785347984119285,0
16087,0,3.8518518518518516,0,0,1.379847111866456,0
16088,2,2.925925925925926,0,0,1.2149051456930908,0
16089,0,4.703703703703703,0,0,1.6513701340450337,0
16090,1,3.7777777777777777,0,0,1.4740554623801778,0
16091,4,2.2222222222222223,1,1,0.9162456945817024,0
16092,0,4.0,0,0,1.3333333333333333,0
16093,1,3.074074074074074,0,0,1.152322161933633,0
16094,0,3.5555555555555554,0,0,1.3698697784375502,0
16095,3,2.6296296296296298,0,0,1.2216609261089364,0
16096,0,4.407407407407407,0,0,1.6161054984645502,0
16097,1,3.4814814814814814,0,0,1.4496582067245132,0
16098,0,4.2592592592592595,0,0,1.7340296164029074,0
16099,0,4.2592592592592595,0,0,1.7340296164029074,0
16100,0,4.2592592592592595,0,0,1.7340296164029074,0
16101,3,3.3333333333333335,0,0,1.5869840952317444,0
16102,0,3.090909090909091,0,0,1.345331689722613,0
16103,0,3.090909090909091,0,0,1.345331689722613,0
16104,0,3.090909090909091,0,0,1.345331689722613,0
16105,0,3.090909090909091,0,0,1.345331689722613,0
16106,6,2.1818181818181817,0,1,1.1922615498730909,1
16107,0,3.4545454545454546,0,0,1.6713433009863852,0
16108,0,3.4545454545454546,0,0,1.6713433009863852,0
16109,0,3.4545454545454546,0,0,1.6713433009863847,0
16110,4,2.5454545454545454,0,0,1.529327621932793,0
16111,0,4.181818181818182,0,0,1.9687643479734287,0
16112,0,4.181818181818182,0,0,1.9687643479734287,0
16113,2,3.272727272727273,0,0,1.813630667569091,0
16114,0,3.1818181818181817,0,0,1.2297953871335165,0
16115,0,3.1818181818181817,0,0,1.2297953871335165,0
16116,3,2.272727272727273,1,0,1.052348809344566,0
16117,0,3.5454545454545454,0,0,1.4993111365882401,0
16118,0,3.5454545454545454,0,0,1.4993111365882401,0
16119,3,2.6363636363636362,0,0,1.3329889362377436,0
16120,0,4.181818181818182,0,0,1.8497263590341642,0
16121,2,3.272727272727273,0,0,1.6836599252229214,0
16122,0,5.0,0,0,2.1320071635561044,0
16123,1,4.090909090909091,0,0,1.9519009594167172,0
16124,0,3.2941176470588234,0,0,1.4043925160368613,0
16125,0,3.2941176470588234,0,0,1.4043925160368613,0
16126,2,2.411764705882353,0,0,1.1910856900774462,0
16127,0,2.6470588235294117,0,0,1.081457430050014,0
16128,0,2.6470588235294117,0,0,1.081457430050014,0
16129,0,2.6470588235294117,0,0,1.081457430050014,0
16130,0,2.6470588235294117,0,0,1.081457430050014,0
16131,6,1.7647058823529411,1,0,0.8764508485736082,1
16132,0,2.588235294117647,0,0,0.973702668073344,0
16133,0,2.588235294117647,0,0,0.973702668073344,0
16134,0,3.3529411764705883,0,0,1.2806788857104259,0
16135,1,2.4705882352941178,0,0,1.0356951095093534,0
16136,4,1.7058823529411764,1,1,0.7487012977269327,0
16137,0,3.1176470588235294,0,0,1.3232025740237638,0
16138,0,3.1176470588235294,0,0,1.3232025740237638,0
16139,0,3.1176470588235294,0,0,1.3232025740237638,0
16140,3,2.235294117647059,0,0,1.1129934075543824,0
16141,0,4.137931034482759,0,0,1.431761344277703,0
16142,0,4.137931034482759,0,0,1.431761344277703,0
16143,2,3.206896551724138,0,0,1.2697898372084115,0
16144,3,2.413793103448276,1,1,0.9655172413793103,1
16145,0,3.3793103448275863,0,0,1.3998471124265133,0
16146,0,4.241379310344827,0,0,1.6114926131790237,0
16147,1,3.310344827586207,0,0,1.4646041780410555,0
16148,0,4.172413793103448,0,0,1.6623407990612342,0
16149,0,4.172413793103448,0,0,1.6623407990612342,0
16150,2,3.2413793103448274,0,0,1.5234980713361739,0
16151,0,3.3793103448275863,0,0,1.399847112426513,0
16152,6,2.4482758620689653,0,0,1.275396000614271,0
16153,0,3.3793103448275863,0,0,1.3998471124265133,0
16154,0,4.0344827586206895,0,0,1.6709022675290646,0
16155,2,3.103448275862069,0,0,1.539028524442855,0
16156,0,4.827586206896552,0,0,1.9664244730183795,0
16157,0,4.827586206896552,0,0,1.9664244730183795,0
16158,2,3.896551724137931,0,0,1.8259589372239624,0
16159,0,3.586206896551724,0,0,1.3775851279612539,0
16160,0,3.586206896551724,0,0,1.3775851279612539,0
16161,0,3.586206896551724,0,0,1.3775851279612539,0
16162,4,2.6551724137931036,0,0,1.2394621210766503,0
16163,0,4.103448275862069,0,0,1.7877905374918237,0
16164,0,4.9655172413793105,0,0,2.0083061763532464,0
16165,1,4.0344827586206895,0,0,1.8658964494439563,0
16166,0,4.103448275862069,0,0,1.7877905374918235,0
16167,4,3.1724137931034484,0,0,1.6623407990612344,0
16168,0,4.9655172413793105,0,0,2.0083061763532464,0
16169,1,4.0344827586206895,0,0,1.8658964494439563,0
16170,0,2.7058823529411766,0,0,1.0718157151934469,0
16171,0,2.7058823529411766,0,0,1.0718157151934469,0
16172,5,1.8235294117647058,1,1,0.8564835163859433,1
16173,1,2.3529411764705883,0,0,1.0256232808330996,0
16174,0,3.8823529411764706,0,0,1.6762125704441184,0
16175,0,3.8823529411764706,0,0,1.6762125704441184,0
16176,2,3.0,0,0,1.4552137502179978,0
16177,0,3.1176470588235294,0,0,1.4504503536397593,0
16178,0,3.1176470588235294,0,0,1.4504503536397593,0
16179,0,3.1176470588235294,0,0,1.4504503536397593,0
16180,0,3.1176470588235294,0,0,1.4504503536397593,0
16181,4,2.235294117647059,0,0,1.2616241523251304,0
16182,0,3.8823529411764706,0,0,1.604491964351277,0
16183,1,3.0,0,0,1.3719886811400708,0
16184,2,2.235294117647059,0,0,1.0588235294117647,0
16185,0,3.8823529411764706,0,0,1.6044919643512772,0
16186,1,3.0,0,0,1.3719886811400708,0
16187,1,2.1333333333333333,1,0,0.8844332774281066,0
16188,0,3.6,0,0,1.5832456116050557,0
16189,0,3.6,0,0,1.5832456116050557,0
16190,2,2.7333333333333334,0,0,1.339983416149452,0
16191,0,2.533333333333333,0,0,1.0241527663824812,0
16192,0,2.533333333333333,0,0,1.0241527663824812,0
16193,5,1.6666666666666667,1,1,0.7888106377466154,1
16194,0,3.2666666666666666,0,0,1.339983416149452,0
16195,1,2.4,0,0,1.083205120618128,0
16196,0,2.7333333333333334,0,0,1.339983416149452,0
16197,0,2.7333333333333334,0,0,1.339983416149452,0
16198,0,2.7333333333333334,0,0,1.339983416149452,0
16199,0,2.7333333333333334,0,0,1.339983416149452,0
16200,0,2.7333333333333334,0,0,1.339983416149452,0
16201,5,1.8666666666666667,0,0,1.1469767022723503,0
16202,0,3.3,0,0,1.307669683062202,0
16203,0,3.3,0,0,1.307669683062202,0
16204,4,2.4,0,0,1.1135528725660042,1
16205,0,4.1,0,0,1.6093476939431082,0
16206,1,3.2,0,0,1.4000000000000001,0
16207,0,2.8,0,0,0.9797958971132712,0
16208,3,1.9,1,1,0.7681145747868608,0
16209,0,3.1,0,0,1.2609520212918492,0
16210,0,3.1,0,0,1.2609520212918492,0
16211,4,2.2,0,0,1.0770329614269007,0
16212,0,3.1,0,0,1.2609520212918492,0
16213,0,3.8,0,0,1.5999999999999999,0
16214,0,3.8,0,0,1.5999999999999999,0
16215,2,2.9,0,0,1.4106735979665885,0
16216,0,3.2,0,0,1.3266499161421599,0
16217,0,3.2,0,0,1.3266499161421599,0
16218,0,3.2,0,0,1.3266499161421599,0
16219,4,2.3,0,0,1.1445523142259597,0
16220,0,4.0,0,0,1.61245154965971,0
16221,1,3.1,0,0,1.4106735979665883,0
16222,2,3.0,0,0,1.5231546211727816,0
16223,0,4.76,0,0,1.9241621553289112,0
16224,1,3.84,0,0,1.759090674183682,0
16225,0,4.6,0,0,2.0199009876724157,0
16226,2,3.68,0,0,1.8701871564097536,0
16227,0,5.44,0,0,2.2817537115122657,0
16228,1,4.52,0,0,2.1188676221038443,0
16229,0,3.44,0,0,1.3588230201170421,0
16230,0,4.28,0,0,1.612947612292476,0
16231,1,3.36,0,0,1.4388884598883958,0
16232,3,2.52,1,1,1.2039933554633928,0
16233,0,3.72,0,0,1.6618062462272791,0
16234,0,3.72,0,0,1.6618062462272791,0
16235,0,3.72,0,0,1.6618062462272791,0
16236,4,2.8,0,0,1.5231546211727816,0
16237,0,4.32,0,0,1.9943921379708658,0
16238,2,3.4,0,0,1.854723699099141,0
16239,0,5.08,0,0,2.313784778236731,0
16240,2,4.16,0,0,2.1666564102321346,0
16241,0,5.08,0,0,2.313784778236731,0
16242,0,3.48,0,0,1.389100428334827,0
16243,4,2.56,1,0,1.23547561691844,1
16244,0,4.24,0,0,1.7036431551237483,0
16245,0,4.24,0,0,1.7036431551237483,0
16246,2,3.32,0,0,1.5419468213917105,0
16247,0,2.6666666666666665,0,0,1.4907119849998598,0
16248,0,2.6666666666666665,0,0,1.4907119849998598,0
16249,2,1.8888888888888888,0,0,1.1967032904743342,0
16250,3,1.5555555555555556,1,1,0.8314794192830981,1
16251,0,2.3333333333333335,0,0,1.1547005383792517,0
16252,0,3.0,0,0,1.632993161855452,0
16253,2,1.6666666666666667,1,0,0.9428090415820634,0
16254,1,2.2222222222222223,0,0,1.314684396244359,0
16255,0,2.4444444444444446,0,0,1.2570787221094177,0
16256,0,3.8666666666666667,0,0,1.8926759422104518,0
16257,1,3.0,0,0,1.6733200530681511,0
16258,0,2.933333333333333,0,0,1.2892719737209146,0
16259,0,2.933333333333333,0,0,1.2892719737209146,0
16260,3,2.066666666666667,1,1,1.0624918300339485,0
16261,1,2.2666666666666666,1,0,1.0624918300339485,0
16262,0,3.466666666666667,0,0,1.746106780494506,0
16263,0,3.466666666666667,0,0,1.746106780494506,0
16264,0,4.2,0,0,2.072036035722674,0
16265,1,3.3333333333333335,0,0,1.8499249234015478,0
16266,3,2.6,0,0,1.540562667772179,0
16267,0,3.1333333333333333,0,0,1.586050300449376,0
16268,4,2.2666666666666666,0,0,1.3888444437333105,1
16269,0,3.8666666666666667,0,0,1.8926759422104518,0
16270,1,3.0,0,0,1.6733200530681511,0
16271,0,4.318181818181818,0,0,1.793583605177169,0
16272,1,3.409090909090909,0,0,1.6141164458695185,0
16273,1,2.409090909090909,1,0,0.9843821739867143,0
16274,0,3.227272727272727,0,0,1.4120204151826425,0
16275,0,3.227272727272727,0,0,1.4120204151826423,0
16276,0,3.227272727272727,0,0,1.4120204151826423,0
16277,0,3.227272727272727,0,0,1.4120204151826423,0
16278,5,2.3181818181818183,0,1,1.2572106078126664,0
