,,,accuracy,precision,recall,fscore
French-all,balanced,RANDOM CLASS,0.5004819049418879,0.4997879682835162,0.5035195922968926,0.5016374357082464
German-all,no_balanced,LOGISTIC REGRESION,0.9681337648327938,0.6401646295006815,0.9779299464111183,0.7725351997633003
German-all,no_balanced,DECISION TREE,0.9795685005393743,0.7550630814822066,0.9268374767368817,0.8301085394446055
German-all,no_balanced,KNN 3,0.9782524271844659,0.7589034183875256,0.9228673817403161,0.8200383269006857
German-all,no_balanced,KNN 5,0.9727723840345199,0.6712074536073819,0.9869362587463867,0.7982000672158117
German-all,no_balanced,KNN 7,0.9756202804746493,0.725085564856849,0.9484215408439761,0.8089861081264026
German-all,no_balanced,KNN 9,0.9777993527508091,0.7357292685369466,0.9594142425085129,0.8232061688814716
German-all,no_balanced,MOST FREQUEST CLASS,0.9447896440129451,0.0,0.0,0.0
German-all,no_balanced,RANDOM CLASS,0.5000431499460627,0.05373693098386334,0.5035232327815748,0.09709887426681667
German-all,balanced,LOGISTIC REGRESION,0.9780209758321933,0.9708112281373541,0.9857402425251942,0.9781100290837799
German-all,balanced,DECISION TREE,0.974829001367989,0.9948062657920543,0.9545790016561793,0.9741734603741282
German-all,balanced,KNN 3,0.989717282261742,0.9866238872290222,0.9928982052761542,0.9897444454907314
German-all,balanced,KNN 5,0.990344277245782,0.9839177515333954,0.9969462490214541,0.9903871883967781
German-all,balanced,KNN 7,0.9897856817145463,0.9810445343572965,0.9988498684247229,0.9898653888153506
German-all,balanced,KNN 9,0.9898996808025535,0.980312146607997,1.0,0.990051344736461
German-all,balanced,MOST FREQUEST CLASS,0.49787961696306426,0.2487916096671227,0.5,0.3322554355609612
German-all,balanced,RANDOM CLASS,0.49736662106703144,0.4993188085478682,0.49827378297926916,0.49876229264678307
Hindi-all,no_balanced,LOGISTIC REGRESION,0.9838415767943474,0.7839414043372605,0.8864877344759959,0.828321213859731
Hindi-all,no_balanced,DECISION TREE,0.9751766455931573,0.8364119098744938,0.5667192987070482,0.6618420401029969
Hindi-all,no_balanced,KNN 3,0.9865377463741167,0.8344903737758619,0.8985461047834354,0.8641611754265967
Hindi-all,no_balanced,KNN 5,0.9856824098177761,0.7973361514614761,0.9216603192842333,0.8537878665128951
Hindi-all,no_balanced,KNN 7,0.9853663071773895,0.8023766014776197,0.9225515455826256,0.8567957653905914
Hindi-all,no_balanced,KNN 9,0.9866307177389364,0.8202833892360454,0.9185046524495549,0.8651150044741531
Hindi-all,no_balanced,MOST FREQUEST CLASS,0.9538304202305691,0.0,0.0,0.0
Hindi-all,no_balanced,RANDOM CLASS,0.5040721457791,0.047954229351933594,0.5131948311135084,0.08769620248436613
Hindi-all,balanced,LOGISTIC REGRESION,0.9644117360366508,0.9606844970478583,0.96889947161255,0.9647496888519831
Hindi-all,balanced,DECISION TREE,0.9619553562725411,0.992035389730094,0.9317414776416226,0.9607646496449377
Hindi-all,balanced,KNN 3,0.9863729408324398,0.9859617946345036,0.9868371694196082,0.9863747670687155
Hindi-all,balanced,KNN 5,0.9865386489911299,0.9804270066748583,0.9929308073497751,0.9866307838518018
Hindi-all,balanced,KNN 7,0.9877473437956915,0.9790328805372985,0.9968198087963833,0.987841070279357
