n	second_moment_degree	second_moment_degree_out	third_moment_degree	third_moment_degree_out	sum_squared_degrees	sum_squared_out_degrees	sum_cubed_degrees	sum_cubed_out_degrees	num_pairs_independent_edges	head_initial	hubiness	sum_hierarchical_distance	mean_hierarchical_distance	tree_centre1	tree_centre2	tree_centroid1	tree_centroid2	tree_diameter	caterpillar_distance	num_crossings	predicted_num_crossings	exp_num_crossings	var_num_crossings	z_score_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	exp_sum_edge_lengths_projective	exp_sum_edge_lengths_planar	var_sum_edge_lengths	z_score_sum_edge_lengths	min_sum_edge_lengths	min_sum_edge_lengths_planar	min_sum_edge_lengths_projective	max_sum_edge_lengths_planar	max_sum_edge_lengths_projective	mean_dependency_distance	flux_max_weight	flux_mean_weight	flux_min_weight	flux_max_left_span	flux_mean_left_span	flux_min_left_span	flux_max_right_span	flux_mean_right_span	flux_min_right_span	flux_max_size	flux_mean_size	flux_min_size	flux_max_RL_ratio	flux_mean_RL_ratio	flux_min_RL_ratio	flux_max_WS_ratio	flux_mean_WS_ratio	flux_min_WS_ratio	empty	singleton	bistar	caterpillar	linear	quasistar	spider	two_linear	star	unknown	EC1	planar	projective	WG1	unknown_syntactic_dependency_structure
29	5.72414	3.17241	22.2069	11.931	166	92	644	346	323	0.464286	0.0797721	82	2.92857	6	18	6	30	7	8	0	8.72088	107.667	449.556	-5.07796	93	280	132	141.586	1214.33	-5.36627	56	56	57	323	268	3.32143	3	2.10714	1	6	2.64286	1	4	2.57143	1	6	3.32143	1	4	1.19762	0.5	1	0.683333	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
12	5	3.08333	18.3333	12.9167	60	37	220	155	36	0.454545	0.2	20	1.81818	2	7	2	13	5	1	0	2.13353	12	23.3667	-2.48246	23	47.6667	32.1667	35.5833	69.6222	-2.95622	18	18	18	64	54	2.09091	2	1.18182	1	3	1.54545	1	3	1.54545	1	4	2.09091	1	3	1.16667	0.333333	1	0.666667	0.333333	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0
13	4.76923	2.61538	15.2308	8.30769	62	34	198	108	47	0.333333	0.145455	25	2.08333	6	14	6	14	6	0	0	6.82071	15.6667	32.7667	-2.73691	32	56	34.5	40.359	88.2	-2.55551	18	18	18	78	58	2.66667	2	1.33333	1	5	2.25	1	2	1.41667	1	6	2.66667	1	2	0.783333	0.333333	1	0.602778	0.333333	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
14	5.28571	3.07143	19.8571	11.2143	74	43	278	157	54	0.384615	0.181818	23	1.76923	2	11	2	15	5	1	0	3.6859	18	39	-2.88231	35	65	37.6667	45.619	118	-2.76172	22	22	22	86	61	2.69231	2	1.30769	1	5	2.07692	1	3	1.61538	1	6	2.69231	1	3	1.06923	0.333333	1	0.582051	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
23	4.69565	2	13.6522	4.6087	108	46	314	106	199	0.454545	0.052381	78	3.54545	11	12	11	24	9	4	0	7.48732	66.3333	222.611	-4.44589	53	176	82.6667	95.0435	531.733	-5.33406	35	35	39	219	155	2.40909	2	1.45455	1	5	2.13636	1	2	1.59091	1	5	2.40909	1	2	0.919697	0.333333	1	0.677273	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
22	5.63636	3.04545	22.3636	11.0455	124	67	492	243	169	0.238095	0.110526	53	2.52381	1	14	1	23	7	4	0	12.266	56.3333	187.411	-4.11498	65	161	73.3333	94.0606	510.6	-4.24845	39	39	39	207	129	3.09524	3	1.47619	1	5	2.52381	1	4	1.80952	1	6	3.09524	1	3	0.909524	0.2	1	0.575397	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
13	5.69231	3.53846	24.9231	15.2308	74	46	324	198	41	0.166667	0.254545	25	2.08333	8	12	12	14	5	0	0	3.79797	13.6667	29.1222	-2.53251	37	56	41.8333	42.4615	96.6	-1.93315	21	21	21	78	78	3.08333	2	1.25	1	6	3	1	3	1.33333	1	6	3.08333	1	1	0.551389	0.166667	1	0.509722	0.166667	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
28	6.21429	3.89286	30.4286	22.6071	174	109	852	633	291	0.259259	0.104615	62	2.2963	18	29	18	29	8	4	2	9.34048	97	392.978	-4.79225	98	261	126.167	144.083	1142.6	-4.82215	52	52	52	351	251	3.62963	2	1.59259	1	7	3.48148	1	2	1.59259	1	7	3.62963	1	1	0.568342	0.142857	1	0.549824	0.142857	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0
23	5.13043	2.6087	17.3043	8.26087	118	60	398	190	194	0.227273	0.0761905	52	2.36364	5	13	5	24	7	6	0	7.79719	64.6667	216.167	-4.39831	56	176	74.6667	94.4928	557.067	-5.08426	40	40	40	208	132	2.54545	2	1.40909	1	5	2.22727	1	3	1.59091	1	5	2.54545	1	2	0.868939	0.2	1	0.634091	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
14	4.85714	2.5	16.4286	7.78571	68	35	230	109	57	0.307692	0.136364	32	2.46154	7	9	7	15	7	0	0	4.62633	19	40.5111	-2.98515	27	65	42.8333	45.3571	113	-3.57474	20	20	20	91	81	2.07692	2	1.07692	1	4	2	1	2	1.07692	1	4	2.07692	1	1	0.660256	0.25	1	0.647436	0.25	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
17	4.94118	2.35294	16.7059	6.94118	84	40	284	118	94	0.3125	0.104762	43	2.6875	8	18	8	18	8	1	0	7.63803	31.3333	79.7111	-3.50952	36	96	51.1667	61.451	211.6	-4.12471	25	25	25	131	92	2.25	2	1.1875	1	4	2.125	1	2	1.1875	1	4	2.25	1	1	0.661458	0.25	1	0.630208	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
20	5	2.45	16.6	7.25	100	49	332	145	140	0.263158	0.0849673	55	2.89474	13	21	10	21	8	2	0	5.91662	46.6667	137.256	-3.98329	40	133	72.3333	79.6333	355.133	-4.935	31	31	31	180	142	2.10526	2	1.26316	1	4	2.05263	1	2	1.26316	1	4	2.10526	1	1	0.70614	0.25	1	0.688596	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
17	5.52941	3.17647	22.7059	12.9412	94	54	386	220	89	0.375	0.152381	39	2.4375	9	13	9	18	7	2	0	4.52317	29.6667	75.6222	-3.41149	37	96	62.8333	63.098	224.6	-3.93683	28	28	28	128	124	2.3125	2	1.125	1	4	2.125	1	2	1.1875	1	5	2.3125	1	2	0.713542	0.25	1	0.603125	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
23	6.08696	3.47826	28	15.3043	140	80	644	352	183	0.318182	0.128571	60	2.72727	9	15	9	24	7	4	0	8.00775	61	208.856	-4.22092	53	176	95.3333	104.87	612.8	-4.96873	44	44	44	236	188	2.40909	2	1.18182	1	5	2.09091	1	2	1.31818	1	5	2.40909	1	2	0.846212	0.2	1	0.599242	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
